date,year,district,year_month,unemployment_gap,unemployment_rate,dissent,direction,dissent_easier
1977-06-21,1977.0,4,1977-06,-1.1513425925925924,5.5,0.0,None,0
1977-06-21,1977.0,5,1977-06,-0.0513425925925918,6.6000000000000005,0.0,None,0
1977-06-21,1977.0,6,1977-06,0.5886574074074078,7.24,0.0,None,0
1977-06-21,1977.0,7,1977-06,-0.8113425925925934,5.839999999999999,0.0,None,0
1977-06-21,1977.0,8,1977-06,-0.4013425925925924,6.25,0.0,None,0
1977-06-21,1977.0,9,1977-06,-1.7763425925925924,4.875,0.0,None,0
1977-06-21,1977.0,10,1977-06,-1.6846759259259256,4.966666666666667,0.0,None,0
1977-06-21,1977.0,11,1977-06,-0.6513425925925924,6.0,0.0,None,0
1977-06-21,1977.0,12,1977-06,0.9931018518518516,7.644444444444444,0.0,None,0
1977-07-19,1977.0,1,1977-07,0.6642129629629618,7.216666666666666,0.0,None,0
1977-07-19,1977.0,2,1977-07,2.3475462962962963,8.9,0.0,None,0
1977-07-19,1977.0,3,1977-07,1.7142129629629634,8.266666666666667,0.0,None,0
1977-07-19,1977.0,4,1977-07,-1.102453703703704,5.45,0.0,None,0
1977-07-19,1977.0,5,1977-07,-0.0024537037037042,6.55,0.0,None,0
1977-07-19,1977.0,6,1977-07,0.567546296296296,7.12,0.0,None,0
1977-07-19,1977.0,7,1977-07,-0.7124537037037042,5.84,0.0,None,0
1977-07-19,1977.0,8,1977-07,-0.3524537037037039,6.2,0.0,None,0
1977-07-19,1977.0,9,1977-07,-1.727453703703704,4.825,0.0,None,0
1977-07-19,1977.0,10,1977-07,-1.719120370370371,4.833333333333333,0.0,None,0
1977-07-19,1977.0,11,1977-07,-0.6024537037037039,5.95,0.0,None,0
1977-07-19,1977.0,12,1977-07,0.9253240740740738,7.477777777777778,0.0,None,0
1977-08-16,1977.0,1,1977-08,0.5792129629629628,7.066666666666666,0.0,None,0
1977-08-16,1977.0,2,1977-08,2.312546296296297,8.8,0.0,None,0
1977-08-16,1977.0,3,1977-08,1.612546296296296,8.1,0.0,None,0
1977-08-16,1977.0,4,1977-08,-1.087453703703703,5.4,0.0,None,0
1977-08-16,1977.0,5,1977-08,0.0125462962962963,6.5,0.0,None,0
1977-08-16,1977.0,6,1977-08,0.5325462962962968,7.0200000000000005,0.0,None,0
1977-08-16,1977.0,7,1977-08,-0.6274537037037042,5.859999999999999,0.0,None,0
1977-08-16,1977.0,8,1977-08,-0.2874537037037035,6.2,0.0,None,0
1977-08-16,1977.0,9,1977-08,-1.712453703703703,4.775,0.0,None,0
1977-08-16,1977.0,10,1977-08,-1.720787037037037,4.766666666666667,0.0,None,0
1977-08-16,1977.0,11,1977-08,-0.4374537037037038,6.05,0.0,None,0
1977-08-16,1977.0,12,1977-08,0.8236574074074072,7.311111111111111,0.0,None,0
1977-09-20,1977.0,1,1977-09,0.4943518518518521,6.916666666666667,1.0,Tighter,0
1977-09-20,1977.0,2,1977-09,2.2776851851851845,8.7,0.0,None,0
1977-09-20,1977.0,3,1977-09,1.5776851851851852,8.0,0.0,None,0
1977-09-20,1977.0,4,1977-09,-1.0723148148148152,5.35,0.0,None,0
1977-09-20,1977.0,5,1977-09,0.044351851851851,6.466666666666666,0.0,None,0
1977-09-20,1977.0,6,1977-09,0.4976851851851851,6.92,0.0,None,0
1977-09-20,1977.0,7,1977-09,-0.6023148148148145,5.82,0.0,None,0
1977-09-20,1977.0,8,1977-09,-0.2723148148148144,6.15,1.0,Tighter,0
