date,speaker,district,unemployment_discussion_score,unemployment_rate,num_turns
2009-03-18,DUDLEY,New York,0.18860479962522392,10.280744980099088,16800
2009-03-18,EVANS,Chicago,0.21151970899558556,10.280744980099088,13600
2009-03-18,FISHER,Dallas,0.17612330044160962,10.280744980099088,22400
2009-03-18,HOENIG,Kansas City,0.18740673006741765,10.280744980099088,8000
2009-03-18,LACKER,Richmond,0.17823013317226302,10.280744980099088,40000
2009-03-18,LOCKHART,Atlanta,0.21659782167376596,10.280744980099088,8400
2009-03-18,PIANALTO,Cleveland,0.25361580647678167,10.280744980099088,5600
2009-03-18,PLOSSER,Philadelphia,0.19767676723039615,10.280744980099088,23200
2009-03-18,ROSENGREN,Boston,0.2667616170682485,10.280744980099088,4800
2009-03-18,STERN,Minneapolis,0.2846291320150068,10.280744980099088,7200
2009-03-18,YELLEN,San Francisco,0.29136858341958566,10.280744980099088,4800
2009-04-29,BULLARD,St. Louis,0.22054682377317533,9.105444236277394,2310
2009-04-29,DUDLEY,New York,0.22847175726887758,9.105444236277394,3696
2009-04-29,EVANS,Chicago,0.21559721618639924,9.105444236277394,6006
2009-04-29,FISHER,Dallas,0.19966777042454645,9.105444236277394,10626
2009-04-29,HOENIG,Kansas City,0.18326650616622406,9.105444236277394,4158
2009-04-29,LACKER,Richmond,0.22078794528558993,9.105444236277394,12936
2009-04-29,LOCKHART,Atlanta,0.2415493841359023,9.105444236277394,2772
2009-04-29,PIANALTO,Cleveland,0.26948330019162126,9.105444236277394,1848
2009-04-29,PLOSSER,Philadelphia,0.2193303348326766,9.105444236277394,5544
2009-04-29,ROSENGREN,Boston,0.24031970060505536,9.105444236277394,2772
2009-04-29,STERN,Minneapolis,0.22113205428159824,9.105444236277394,4158
2009-04-29,YELLEN,San Francisco,0.26517356223595706,9.105444236277394,3465
2009-06-24,BULLARD,St. Louis,0.2556804320116074,10.280934122809484,5022
2009-06-24,DUDLEY,New York,0.23256619917336804,10.280934122809484,8370
2009-06-24,EVANS,Chicago,0.2089240244191833,10.280934122809484,7254
2009-06-24,FISHER,Dallas,0.22284399197159324,10.280934122809484,9486
2009-06-24,HOENIG,Kansas City,0.22393690514618197,10.280934122809484,4464
2009-06-24,LACKER,Richmond,0.2283488132174659,10.280934122809484,15624
2009-06-24,LOCKHART,Atlanta,0.2207515717774825,10.280934122809484,5022
2009-06-24,PIANALTO,Cleveland,0.32027058094126093,10.280934122809484,1674
2009-06-24,PLOSSER,Philadelphia,0.22937616162020952,10.280934122809484,10602
2009-06-24,ROSENGREN,Boston,0.2994682154001384,10.280934122809484,3348
2009-06-24,STERN,Minneapolis,0.25797966640012054,10.280934122809484,5022
2009-06-24,YELLEN,San Francisco,0.32776733882677467,10.280934122809484,2511
2009-08-12,BULLARD,St. Louis,0.29356447496584026,8.31503051611805,2562
2009-08-12,DUDLEY,New York,0.21991207148811023,8.31503051611805,3660
2009-08-12,EVANS,Chicago,0.28846551834431383,8.31503051611805,1830
2009-08-12,FISHER,Dallas,0.22945072102514388,8.31503051611805,4026
2009-08-12,HOENIG,Kansas City,0.32991481331112843,8.31503051611805,1464
2009-08-12,LACKER,Richmond,0.23805145091349764,8.31503051611805,10614
2009-08-12,LOCKHART,Atlanta,0.3146083919305549,8.31503051611805,1647
2009-08-12,PIANALTO,Cleveland,0.33742151997538194,8.31503051611805,732
2009-08-12,PLOSSER,Philadelphia,0.22666624650151282,8.31503051611805,4026
2009-08-12,ROSENGREN,Boston,0.2875661371932436,8.31503051611805,2196
2009-08-12,STERN,Minneapolis,0.33966883601661085,8.31503051611805,3294
2009-08-12,YELLEN,San Francisco,0.30174174751660365,8.31503051611805,1647
2009-09-23,BULLARD,St. Louis,0.18463878417664686,9.51978716435598,7722
2009-09-23,DUDLEY,New York,0.19842081603817255,9.51978716435598,8316
2009-09-23,EVANS,Chicago,0.21547988740727417,9.51978716435598,7128
2009-09-23,FISHER,Dallas,0.24029711173191579,9.51978716435598,10098
2009-09-23,HOENIG,Kansas City,0.28773718174531415,9.51978716435598,3564
