date,year,month,quarter,speaker,position,short_name,greeting,briefer_dummy,bucket_1,bucket_2,bucket_3,bucket_4,total,bucket1_perc,bucket2_perc,bucket3_perc,bucket4_perc,speak_count,speak_length,avg_next_speaker_length,avg_next_speaker_gender,laughter_sum,first_to_introduce_topic,sum_interrupted,sum_interrupter,sum_hedge,avg_day_sentiment,avg_sentiment_per_speaker,dissenter_dummy,total_yes_vote,total_no_vote,total_vote,perc_disset_vote,Attendees,Male,Female,Percent.Male.Att,Percent.Female.Att,ATT.NOT.VOTERS,Female.Voters,Male.Voters,Female.NON.Voters,Male.NON.Voters,Number.of.Voters,percent_fem_voter,percent_male_voter,Number.of.NonVoters,percent_female_NONvoters,percent_male_NONvoters,Total.Voters,voter_dummy,fin_crisis,econ_crisis,target_upper,target_lower,target_mid,chair,b1_dummy,b2_dummy,b3_dummy,b4_dummy,fem_dummy,pol_dummy,epu,mpu,shawdow_i_rate
12/14/2010,2010,12,4,ms danker,deputy secretary,danker,Ms,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,2,367,83,1,0,0,0,0,0,0.0679951,0.25,NA,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,0,0,0,0.25,0,0.125,bernanke,0,0,1,0,1,NA,137.5047147,77.00285044,-0.884818633
12/14/2010,2010,12,4,bchairman bernanke,chairman,bernanke,Mr,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,1,58,687,1,1,0,0,0,0,0.0679951,0.25,0,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,1,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,NA,137.5047147,77.00285044,-0.884818633
12/14/2010,2010,12,4,mr lockhart,president,lockhart,Mr,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,10,7532,354.4,1,0,2,0,1,12,0.0679951,0.034345785,NA,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,0,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,1,137.5047147,77.00285044,-0.884818633
12/14/2010,2010,12,4,chairman bernanke,chairman,bernanke,Mr,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,63,21550,2646.873016,0.793650794,2,8,0,1,23,0.0679951,0.093191255,0,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,1,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,NA,137.5047147,77.00285044,-0.884818633
12/14/2010,2010,12,4,mr rosengren,president,rosengren,Mr,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,4,6014,320.75,1,0,1,0,0,9,0.0679951,0.013034764,0,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,1,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,0,137.5047147,77.00285044,-0.884818633
12/14/2010,2010,12,4,vice chairman dudley,vice chairman,dudley,Mr,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,7,10970,658,1,1,2,0,1,18,0.0679951,-0.031257453,0,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,1,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,NA,137.5047147,77.00285044,-0.884818633
12/14/2010,2010,12,4,mr bullard,president,bullard,Mr,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,7,10133,134.4285714,1,0,1,0,0,12,0.0679951,0.118541989,0,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,1,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,1,137.5047147,77.00285044,-0.884818633
12/14/2010,2010,12,4,mr kocherlakota,president,kocherlakota,Mr,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,3,10725,774.6666667,1,2,0,0,1,12,0.0679951,0.224975093,NA,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,0,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,0,137.5047147,77.00285044,-0.884818633
12/14/2010,2010,12,4,mr moore,first vice president,moore,Mr,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,2,6219,30,1,2,0,0,0,11,0.0679951,0.074041212,NA,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,0,0,0,0.25,0,0.125,bernanke,0,1,0,0,0,NA,137.5047147,77.00285044,-0.884818633
12/14/2010,2010,12,4,mr evans,president,evans,Mr,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,3,9478,32.66666667,1,0,0,0,0,13,0.0679951,0.022902501,NA,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,0,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,0,137.5047147,77.00285044,-0.884818633
12/14/2010,2010,12,4,fomcmr bullard,president,bullard,Mr,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,1,132,1367,1,0,1,0,0,0,0.0679951,0.1,0,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,1,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,NA,137.5047147,77.00285044,-0.884818633
