,speaker,date,speak_count,speaker_unique
418,MR MOSKOW,19950926,5,MOSKOW
419,MR BROADDUS,19950926,4,BROADDUS
420,MR FORRESTAL,19950926,3,FORRESTAL
421,MR BOEHNE,19950926,6,BOEHNE
422,MR HOENIG,19950926,3,HOENIG
423,MR MCTEER,19950926,4,MCTEER
424,MR MELZER,19950926,5,MELZER
425,MR KELLEY,19950926,5,KELLEY
426,MR BERNARD,19950926,1,BERNARD
427,MR BERNARDC,19950926,1,BERNARDC
428,MR WINN,19950926,4,WINN
429,CHAIRMAN GREENSPAN,19951115,102,GREENSPAN
430,MS MINEHAN,19951115,18,MINEHAN
431,MR KELLEY,19951115,5,KELLEY
432,MR FISHER,19951115,37,FISHER
433,MR KOHN,19951115,21,KOHN
434,MR LINDSEY,19951115,14,LINDSEY
435,MR TRUMAN,19951115,6,TRUMAN
436,MR JORDAN,19951115,7,JORDAN
437,VICE CHAIRMAN MCDONOUGH,19951115,6,MCDONOUGH
438,MR BLINDER,19951115,34,BLINDER
439,MS KRIEGER,19951115,3,KRIEGER
440,MR HOENIG,19951115,4,HOENIG
441,MR MELZER,19951115,3,MELZER
442,MR BROADDUS,19951115,4,BROADDUS
443,MR PRELL,19951115,24,PRELL
444,MR PARRY,19951115,10,PARRY
445,PCEMR PRELL,19951115,1,PRELL
446,MR STOCKTON,19951115,1,STOCKTON
447,MR FORRESTAL,19951115,4,FORRESTAL
448,MR BOEHNE,19951115,2,BOEHNE
449,MR MOSKOW,19951115,2,MOSKOW
450,MR STERN,19951115,3,STERN
451,MR MCTEER,19951115,1,MCTEER
452,MS PHILLIPS,19951115,3,PHILLIPS
453,MS YELLEN,19951115,3,YELLEN
454,CHAIRMAN GREENSPAN MR MCTEER,19951115,1,MCTEER
455,MR BERNARD,19951115,1,BERNARD
456,MR BERNARDC,19951115,1,BERNARDC
457,CHAIRMAN GREENSPAN,19951219,72,GREENSPAN
458,MR GUYNN,19951219,3,GUYNN
459,VICE CHAIRMAN MCDONOUGH,19951219,10,MCDONOUGH
460,MR FISHER,19951219,10,FISHER
461,MR LINDSEY,19951219,16,LINDSEY
462,MR TRUMAN,19951219,17,TRUMAN
463,MS MINEHAN,19951219,15,MINEHAN
464,MR MELZER,19951219,6,MELZER
465,MR BROADDUS,19951219,6,BROADDUS
466,MR KOHN,19951219,15,KOHN
467,MR BLINDER,19951219,10,BLINDER
468,MR KELLEY,19951219,3,KELLEY
469,MR PRELL,19951219,6,PRELL
470,MR MOSKOW,19951219,3,MOSKOW
471,MR STOCKTON,19951219,1,STOCKTON
472,PRESIDENT BOEHNE,19951219,1,BOEHNE
473,MR PARRY,19951219,3,PARRY
474,MR STERN,19951219,3,STERN
475,MR MCTEER,19951219,2,MCTEER
476,MR HOENIG,19951219,2,HOENIG
477,MS YELLEN,19951219,2,YELLEN
478,MS PHILLIPS,19951219,2,PHILLIPS
479,MR JORDAN,19951219,5,JORDAN
480,MR BOEHNE,19951219,1,BOEHNE
481,MR BERNARD,19951219,1,BERNARD
482,MR BERNARDC,19951219,1,BERNARDC
483,RMAN GREENSPAN,19960131,2,GREENSPAN
484,MR KELLEY,19960131,16,KELLEY
485,MS PHILLIPS,19960131,5,PHILLIPS
486,MR MCTEER,19960131,6,MCTEER
487,CHAIRMAN GREENSPAN,19960131,120,GREENSPAN
488,MR BERNARD,19960131,8,BERNARD
